customer_id,name,email,state,business_type,signup_date,num_employees,annual_revenue
CUST_00001,"Rodriguez, Figueroa and Sanchez",jillrhodes@miller.com,TX,Retail,2025-10-06,6,3720674.97
CUST_00002,Wagner Inc,jennifermiles@robinson-lawrence.com,FL,Consulting,2024-12-03,4,3695532.51
CUST_00003,Wolfe LLC,eric51@james.com,AZ,Restaurant,2025-11-04,7,2972937.94
CUST_00004,"Baker, Williams and Stevens",dudleynicholas@carter.com,CA,Restaurant,2024-06-21,15,1132257.98
CUST_00005,"Lee, Jones and Stanley",tracie31@ramirez-reid.com,NC,Retail,2025-06-24,3,2828163.06
CUST_00006,Wood and Sons,jacqueline19@jackson.biz,AZ,Legal,2025-12-04,3,1141181.08
CUST_00007,Mayo-Bowman,gabriellecameron@perez.com,WA,Retail,2025-08-28,15,3806096.47
CUST_00008,Adams-Clark,jason76@ellis.net,GA,Healthcare,2024-09-28,8,1425463.14
CUST_00009,"Baker, Richards and Hurst",icox@snyder.com,IL,Restaurant,2024-11-10,3,509091.92
CUST_00010,"Moore, Becker and Carlson",djames@king.com,IL,Healthcare,2024-08-10,6,3038443.86
CUST_00011,"Dyer, Potter and Mack",daniel62@smith-bowen.com,CA,E-commerce,2026-02-13,3,2704329.05
CUST_00012,"Gill, Romero and Rodriguez",meagan89@hernandez.net,TX,Construction,2025-03-17,3,4155553.09
CUST_00013,"Sellers, George and Burns",hickmannatasha@allen-allen.org,IL,Freelance,2025-09-20,5,3537630.59
CUST_00014,Miller Group,spenceamanda@anderson.net,FL,Construction,2024-07-02,1,4926846.53
CUST_00015,Baker PLC,ibrandt@vaughn.com,FL,Restaurant,2026-03-23,1,1931624.81
CUST_00016,Lam-Hayes,jeffreymorgan@spencer.com,IL,Consulting,2025-05-14,2,1882395.79
CUST_00017,Jones Inc,chad34@washington.org,WA,Restaurant,2024-11-06,1,3065198.48
CUST_00018,"Kennedy, Mueller and Aguirre",clintonhopkins@henderson-owens.com,AZ,Freelance,2024-10-07,5,858842.34
CUST_00019,"Valdez, Lucas and Brown",lauren13@lee.com,WA,Freelance,2025-03-18,2,3438840.54
CUST_00020,White-Ford,ramosmichelle@garcia.com,CA,Freelance,2026-03-13,1,4117922.84
CUST_00021,House and Sons,richardolson@barrera-martin.com,IL,Legal,2026-02-12,14,1375317.34
CUST_00022,Baker-Bowers,smitchell@cowan.com,NC,Healthcare,2024-11-07,3,1102501.39
CUST_00023,Phillips Inc,adkinsbrian@woods.com,GA,E-commerce,2025-06-19,4,757214.37
CUST_00024,"Miller, Lopez and Larson",richarddavid@sanchez.biz,FL,Construction,2024-09-13,1,3747718.37
CUST_00025,"Silva, Mills and Donovan",elizabethedwards@foster-powers.com,NC,Legal,2025-04-25,2,1841882.4
CUST_00026,Stewart-Walton,smithchristine@ferrell.com,AZ,E-commerce,2024-09-12,4,500001.59
CUST_00027,Mahoney Inc,mikemoore@warner.net,TX,Consulting,2024-07-03,1,3155857.91
CUST_00028,Contreras PLC,sarah12@wilson-rodriguez.net,GA,Restaurant,2026-02-01,6,1954598.19
CUST_00029,Nelson PLC,jenniferharris@farrell.com,CO,Construction,2025-09-02,2,4856837.97
CUST_00030,Walters LLC,smithkellie@whitney.biz,CA,Restaurant,2026-03-27,3,3424466.33
CUST_00031,"Smith, Jones and Ware",amydavenport@tran.com,WA,Healthcare,2025-07-18,2,602183.26
CUST_00032,Nolan and Sons,elizabethgomez@henson.com,NY,E-commerce,2025-04-30,19,66064.31
CUST_00033,Hancock and Sons,vjohnson@patton-jenkins.com,WA,Consulting,2025-12-09,4,2563024.29
CUST_00034,Moore-Haynes,ebrennan@gonzalez.com,WA,Freelance,2024-08-18,1,806554.38
CUST_00035,Hoover-Savage,andrewlee@ramirez-jones.com,NY,Retail,2026-01-09,8,3014775.69
CUST_00036,May-Ross,sheila14@carpenter.com,CA,Restaurant,2025-06-11,1,4649038.15
CUST_00037,Carlson LLC,samuel81@lam-lee.com,WA,Freelance,2026-04-10,5,336729.57
CUST_00038,"Graham, Meyer and Drake",michaeljones@mccall.com,NC,Restaurant,2026-04-09,1,473984.59
CUST_00039,"Mccullough, Hunter and Estrada",richard48@lee.biz,TX,Consulting,2025-06-09,1,685537.75
CUST_00040,"Adkins, Thompson and Carroll",akelley@mitchell-jordan.org,AZ,Consulting,2025-05-31,5,1362030.31
CUST_00041,"Pena, Marshall and Ramos",williamleon@jackson.org,NC,Legal,2026-04-05,8,4823596.38
CUST_00042,Davis-Crane,emilywalker@hernandez.com,FL,Construction,2025-07-20,5,2025011.88
